2019-08-03 00:01:44,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 23:58:12,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 23:48:34,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 23:39:16,b'RT @UnitedFlyerHD: United B757-200 (N41140) banking left and retracting the gear after departing Houston IAH. \n#avgeek #boeing #boeing757 #\xe2\x80\xa6'
2019-08-02 23:37:36,b'Every damn timeI I fly United the plane is delayed. Now 2+ hours. The United App is worthless for flight status.\xe2\x80\xa6 https://t.co/f2WfekKl4M'
2019-08-02 23:35:47,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 23:18:05,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 23:10:22,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 23:01:22,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:57:35,b'@united on short flights like SFO-SEA the snackboxes you can get for free in coach for being 1k are better than the\xe2\x80\xa6 https://t.co/eclMbY933r'
2019-08-02 22:56:00,"b'Well, just going to have to call @united tomorrow since neither they, @staralliance or @AirChinaNA satisfactorily r\xe2\x80\xa6 https://t.co/YRShxabOZE'"
2019-08-02 22:55:12,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:50:32,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:45:22,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:43:21,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:41:32,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:41:15,b'#unitedAIRLINES @united #POTUS #HelloLoveGoobye 3times u pushed back flight. Just tell the truth from the beginning\xe2\x80\xa6 https://t.co/YEMEgFzRqZ'
2019-08-02 22:40:47,"b'RT @Mirandactl: Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income customers. Y\xe2\x80\xa6'"
2019-08-02 22:40:37,"b'Please spread the word: @United has created a new, unclearly labeled ""fare"" that traps and exploits low-income cust\xe2\x80\xa6 https://t.co/RjZMlemYdZ'"
2019-08-02 22:32:49,"b'United is training it\'s employees to sniff our ""SkipLaggers"". Skiplagging is the practice of buying airline tickets\xe2\x80\xa6 https://t.co/5h3LPBV4Oy'"
2019-08-02 22:17:06,b'Don\xe2\x80\x99t waste your time with #united #unitedAIRLINES basic economy tickets. Very many restrictions. Wish I knew tryin\xe2\x80\xa6 https://t.co/tmLTRj9bWy'
2019-08-02 21:57:33,"b""#unitedAIRLINES why good is seat assignments when you don't honor them? https://t.co/TN1t1szAcP"""
2019-08-02 21:56:20,b'#unitedAIRLINES explain how I had 4 seats booked together in March now my special needs child no longer has an seat\xe2\x80\xa6 https://t.co/wJSzoTjWdp'
2019-08-02 21:37:29,b'@tf8560 Ya gotta tag em if ya want them to know #unitedAIRLINES'
2019-08-02 21:34:37,b'Any chance my golf bag won\xe2\x80\x99t take forever this time at Newark?  Been 15 minutes so far #unitedAIRLINES'
2019-08-02 21:30:48,b'Not in a mood to have flight delays! Fuck #unitedAIRLINES'
2019-08-02 21:28:11,b'@united Always delayed flights!!! IT issues that delayed flights and your ground crew blames Mesa airlines. delayin\xe2\x80\xa6 https://t.co/8WsmVl3iNl'
2019-08-02 21:17:05,"b'This Aircraft is L-1011 TriStar, It Introduced in 1972 to #EasternAirlines, #PanAm, #Detla, #UnitedAirlines, &amp; #TWA\xe2\x80\xa6 https://t.co/aK3HDGbp18'"
2019-08-02 21:13:45,b'#unitedAIRLINES 30 minutes now trying to dial your Premeir Services number from the Cayman Islands and no response!\xe2\x80\xa6 https://t.co/FPFRf80ah8'
2019-08-02 20:35:29,b'RT @Jtrouttn: #unitedAIRLINES why did you take away our assigned seats from our kids??  One being special needs.   I am out of the country\xe2\x80\xa6'
2019-08-02 20:30:32,b'RT @Kika7711: #UnitedAirlines take accountability for your actions!!!! My mother has medical.issues and is told she needs to wait for hours\xe2\x80\xa6'
2019-08-02 20:01:12,b'#UnitedAirlines CISO #EmilyHeath joins #Sessions:Enterprise #thisSeptember \xe2\x80\x93 #TechCrunch   @techcrunch https://t.co/rRNwqq3x6r'
2019-08-02 20:00:20,b'Shout out to Christopher Sullivan in Denver International Airport for amazing customer service shown in his quick t\xe2\x80\xa6 https://t.co/hQVaBvOzkm'
2019-08-02 19:53:20,b'@united airlines employee Joe went above and beyond today at Denver Airport helping get my driver\xe2\x80\x99s license back. T\xe2\x80\xa6 https://t.co/VxaD8SjyrE'
2019-08-02 19:49:56,b'#unitedAIRLINES twice in one week I\xe2\x80\x99ve been delayed and stuck in airports.  Get it together.'
2019-08-02 19:49:24,b'#unitedAIRLINES why did you take away our assigned seats from our kids??  One being special needs.   I am out of th\xe2\x80\xa6 https://t.co/ro5Xm4fjBe'
2019-08-02 19:47:54,b'Thanks a lot United. $10 voucher for a 19 hour delay #unitedAIRLINES #denverinternationalairport https://t.co/vmN4i0mHDa'
2019-08-02 19:02:30,b'Pretty annoyed right now. Sitting in #Denver airport with 3 small kids. Deplaned for mechanical reasons. More than\xe2\x80\xa6 https://t.co/83RLhAJTJG'
